"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"e:\proyecto_renacer2024\backend_renacer\package.json", "JSON", 49, 0, 0, 1, 50
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\farmacia\CategoriaController.js", "JavaScript", 0, 70, 9, 7, 86
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\farmacia\ComprasController.js", "JavaScript", 0, 56, 6, 6, 68
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\farmacia\NombreController.js", "JavaScript", 0, 56, 6, 6, 68
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\farmacia\PresentacionController.js", "JavaScript", 0, 67, 7, 7, 81
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\farmacia\ProductoController.js", "JavaScript", 0, 80, 8, 8, 96
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\farmacia\ProveedorController.js", "JavaScript", 0, 67, 7, 7, 81
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\farmacia\VentasController.js", "JavaScript", 0, 31, 30, 6, 67
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\system\MenuController.js", "JavaScript", 0, 55, 6, 6, 67
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\system\OtroController.js", "JavaScript", 0, 19, 3, 4, 26
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\system\ReportesController.js", "JavaScript", 0, 39, 6, 5, 50
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\system\RolesController.js", "JavaScript", 0, 68, 7, 7, 82
"e:\proyecto_renacer2024\backend_renacer\src\application\api\controllers\system\UsuarioController.js", "JavaScript", 0, 68, 8, 7, 83
"e:\proyecto_renacer2024\backend_renacer\src\application\api\index.js", "JavaScript", 0, 48, 17, 15, 80
"e:\proyecto_renacer2024\backend_renacer\src\application\api\middlewares\AuthMiddleware.js", "JavaScript", 0, 36, 0, 6, 42
"e:\proyecto_renacer2024\backend_renacer\src\application\api\routes\farmacia\CategoriaRoute.js", "JavaScript", 0, 16, 3, 3, 22
"e:\proyecto_renacer2024\backend_renacer\src\application\api\routes\farmacia\ComprasRoute.js", "JavaScript", 0, 13, 3, 3, 19
"e:\proyecto_renacer2024\backend_renacer\src\application\api\routes\farmacia\NombreRoute.js", "JavaScript", 0, 13, 3, 3, 19
"e:\proyecto_renacer2024\backend_renacer\src\application\api\routes\farmacia\PresentacionRoute.js", "JavaScript", 0, 15, 3, 3, 21
"e:\proyecto_renacer2024\backend_renacer\src\application\api\routes\farmacia\ProductoRoute.js", "JavaScript", 0, 15, 4, 4, 23
"e:\proyecto_renacer2024\backend_renacer\src\application\api\routes\farmacia\ProveedorRoute.js", "JavaScript", 0, 15, 3, 3, 21
